ttc_c_m,sub,ttc_R_m,ttc_L_m,rev,sev,d_sl2vsp,lddt,d_factor,drive_recorder_id,ttc_c_inv,ttc_R_m_inv,ttc_L_m_inv,d_sl2vsp_t,d_sl2vsp_t_inv,lddt_inv,AVG_d_judgment_id__1,AVG_d_judgment_rescale,AVG_d_judgment_id_Bit,AVG_d_judgment_id_floor
0,1,0.319,0.319,16.431944,7.205,-4.039444,0.787857,右折,269290,0,3.13479623824451,3.13479623824451,-0.0349878459206506,-0.0349878459206506,1.26926586931385,0,-1,0,0
0,1,14.955,14.955,1.176389,17.140972,54.296667,-1.395008,信号停止,280288,0,0.0668672684720829,0.0668672684720829,1.38856291255239,0.720169025803698,-1.395008,0,-1,0,0
0,1,0,2.341,29.13,5.764444,131.647222,2.724317,信号停止,280872,0,0,0.427167876975651,0.929474983231678,1.07587618606271,0.36706447891343,0,-1,0,0
0.5,1,7.37,7.37,15.595833,3.599028,77.334167,1.825498,左折,283479,2,0.135685210312076,0.135685210312076,0.992630232110386,1.00742448461795,0.547795724783046,0.6667,0.3334,1,1
0,1,11.303,0,0.604722,32.735972,88.5375,-2.07213,停車,289591,0,0.0884720870565337,0,1.16505226990277,0.858330588106107,-2.07213,0.3333,-0.3334,0,1
0,1,67.849,67.849,3.818056,17.038889,39.958889,-1.338615,一時停止,321997,0,0.0147386107385518,0.0147386107385518,5.17453238848921,0.1932541773677,-1.338615,0.3333,-0.3334,0,1
0,1,30.136,30.136,0.6,4.655556,14.619444,0.899198,一時停止,327013,0,0.0331829041677728,0.0331829041677728,0.675003185840708,1.4814744892715,1.11210211766485,0,-1,0,0
0,1,4.279,4.279,34.963333,8.768333,8.416389,2.731649,信号停止,341180,0,0.233699462491236,0.233699462491236,0.0713018317880171,14.0248851245931,0.366079243709569,0,-1,0,0
0,1,7.199,7.199,10.183333,1.979861,21.400278,2.262151,一時停止,345300,0,0.138908181691902,0.138908181691902,0.482078723484137,2.07434999987695,0.442057139421727,0,-1,0,0
0,1,9.774,9.774,29.735,6.799167,114.306667,2.417196,信号停止,346393,0,0.10231225700839,0.10231225700839,1.02512082407454,0.975494767558532,0.413702488337727,0,-1,0,0
0,1,1.9,0,6.141667,8.318056,85.433056,-0.16439,停車,348437,0,0.526315789473684,0,1.01827241954708,0.982055470425874,-0.16439,0.3333,-0.3334,0,1
0,1,14.044,14.044,4.974167,2.239444,43.876389,2.59873,踏切,349004,0,0.0712047849615494,0.0712047849615494,2.03707764250709,0.490899305521448,0.384803346249899,0,-1,0,0
0,1,10.302,10.302,22.279167,9.898889,95.526111,1.304751,信号停止,353761,0,0.09706853038245,0.09706853038245,1.12482909626141,0.889023944458495,0.766429763226853,0,-1,0,0
9,1,0.058,0.058,13.720833,13.967778,0,-0.021514,前方車の減速,354679,0.111111111111111,17.2413793103448,17.2413793103448,0,0,-0.021514,0,-1,0,0
2,1,0.826,0.826,25.690278,4.310972,121.0625,1.808556,一時停止,355430,0.5,1.21065375302663,1.21065375302663,0.991773620972146,1.00829461366374,0.552927307752704,0.3333,-0.3334,0,1
3.684,1,20.742,20.742,0.6,20.166667,53.921667,-1.75945,右折,357955,0.271444082519001,0.0482113585960852,0.0482113585960852,1.16657452644231,0.857210557348352,-1.75945,0.3333,-0.3334,0,1
0,1,0.156,0.156,9.072222,7.420139,57.315278,1.173135,一時停止,362032,0,6.41025641025641,6.41025641025641,1.05176369048833,0.950783915668078,0.852416814774088,0,-1,0,0
0,1,4.286,4.286,3.818056,8.971528,45.255278,-0.518159,一時停止,371018,0,0.233317778814746,0.233317778814746,1.63147407170038,0.612942624921869,-0.518159,0,-1,0,0
3.684,1,17.843,17.843,4.255556,5.233333,61.786944,0.386025,右折,371225,0.271444082519001,0.0560443871546265,0.0560443871546265,1.10856216496387,0.902069393674999,2.59050579625672,0,-1,0,0
0,1,2.407,2.407,0,16.875556,-14.167222,-1.038589,左折,374208,0,0.415454923140839,0.415454923140839,-0.178141806496682,-0.178141806496682,-1.038589,0.3333,-0.3334,0,1
2.889,1,15.791,15.791,3.768611,21.681944,76.872778,-1.439111,信号停止,416804,0.346140533056421,0.0633272117028687,0.0633272117028687,1.13437449090015,0.881543095355116,-1.439111,0,-1,0,0
0,1,10.648,10.648,16.904444,1.820556,69.016111,2.186546,左折,418842,0,0.0939143501126972,0.0939143501126972,1.37710896574659,0.726158949562758,0.457342310657997,0,-1,0,0
0,1,0.1,0.1,20.217778,0.421667,-3.102222,2.541946,左折,421367,0,10,10,-0.0358511739591024,-0.0358511739591024,0.393399387713193,0,-1,0,0
0,1,14.283,14.283,17.994444,13.437778,17.905,0.589139,左折,427057,0,0.0700133025274802,0.0700133025274802,0.238990026324571,4.18427503180365,1.69739229621532,0,-1,0,0
0,1,3.573,3.573,0.277778,26.434722,143.363333,-1.866873,左折,428779,0,0.279876854184159,0.279876854184159,1.03293905493846,0.968111327787466,-1.866873,1,1,1,1
0,1,7.027,7.027,13.35,9.713889,90.075278,0.3388,右折,431148,0,0.142308239647076,0.142308239647076,1.0245205548008,0.976066312495249,2.95159386068477,0,-1,0,0
0,1,5.534,5.534,6.515556,6.622222,100.941111,0.316802,右折,431957,0,0.180701120346946,0.180701120346946,0.990832991411043,1.00925182010331,3.15654572887797,0,-1,0,0
0,1,5.073,5.073,0,39.935833,7.669444,-2.664017,左折,434930,0,0.19712201852947,0.19712201852947,0.140946441370157,7.09489356580332,-2.664017,0,-1,0,0
0,1,6.384,0,8.576667,24.4875,50.469167,-1.36278,信号停止,436302,0,0.156641604010025,0,0.614915223880597,1.62624043309453,-1.36278,0,-1,0,0
0,1,0,0.065,33.795278,5.410417,106.124167,3.500582,信号停止,439013,0,0,15.3846153846154,0.97860399897541,1.021863798888,0.285666783409159,0,-1,0,0
0,1,14.879,14.879,17.847222,8.993056,71.620556,1.214044,左折,440519,0,0.067208817796895,0.067208817796895,1.24060049848434,0.80606125922222,0.823693375198922,0,-1,0,0
2.97,1,2.189,2.189,18.847222,19.279167,0,-0.041105,前方車の減速,445074,0.336700336700337,0.456829602558246,0.456829602558246,0,0,-0.041105,0,-1,0,0
1.535,1,9.594,9.594,6.57,2.965,65.887222,0.767739,右折,445322,0.651465798045603,0.104231811548885,0.104231811548885,1.00459107704036,0.995429904619611,1.30252598864979,0,-1,0,0
0,1,28.901,28.901,0,36.64375,61.3675,-2.63156,左折,450577,0,0.0346008788623231,0.0346008788623231,1.25939459582716,0.794032309899829,-2.63156,0,-1,0,0
0,1,0.037,0,24.3375,3.987222,166.463611,2.30318,信号停止,450890,0,27.027027027027,0,0.987670374289246,1.01248354312503,0.434182304465999,1,1,1,1
0,1,18.789,18.789,0.277778,27.647361,0,-2.316566,前方車の減速,451510,0,0.0532226302623876,0.0532226302623876,0,0,-2.316566,0,-1,0,0
0,1,19.575,19.575,12.118056,5.708333,11.753889,1.102658,左折,458073,0,0.0510855683269476,0.0510855683269476,0.244420057763401,4.09131725583668,0.906899510092885,0,-1,0,0
2.538,1,3.171,3.171,18.283333,15.461667,41.345278,0.36232,左折,458556,0.394011032308905,0.315357931251971,0.315357931251971,0.530180953195127,1.88614848189758,2.75999116802826,0,-1,0,0
2.424,1,13.85,13.85,18.031944,8.622917,74.193611,0.846071,左折,459307,0.412541254125413,0.0722021660649819,0.0722021660649819,0.892465248596632,1.12049180802554,1.18193390389223,0,-1,0,0
0,1,0,11.655,26.927222,11.953056,92.474722,1.649692,左折,461352,0,0,0.0858000858000858,1.00719752881735,0.992853905404429,0.606173758495525,0,-1,0,0
0,1,3.453,3.453,27.712778,0,76.893056,3.629833,左折,461471,0,0.289603243556328,0.289603243556328,0.961897983181597,1.03961128673165,0.275494767941115,0,-1,0,0
0,1,0.138,0.138,0.138333,4.168889,57.096389,0.012404,前方車の減速,463554,0,7.2463768115942,7.2463768115942,1.09078221396731,0.916773290942172,80.6191551112544,0,-1,0,0
0,1,2.771,2.771,6.692222,1.934861,0,1.48972,前方車の減速,464063,0,0.360880548538434,0.360880548538434,0,0,0.671267083747281,0,-1,0,0
0.008,1,12.07,12.07,21.652778,10.204167,97.598056,1.078644,左折,468466,125,0.0828500414250207,0.0828500414250207,0.933605254822767,1.07111650757561,0.927089938849148,0,-1,0,0
0,1,0.216,0.216,16.616667,4.042778,-4.641667,1.757241,左折,469081,0,4.62962962962963,4.62962962962963,-0.0731931721419185,-0.0731931721419185,0.569073906197272,0,-1,0,0
11.375,1,10.204,10.204,13.636111,5.323333,-10.7575,0.847276,前方車の減速,469805,0.0879120879120879,0.098000784006272,0.098000784006272,-0.104481195704959,-0.104481195704959,1.18025295181263,0,-1,0,0
0,1,0.123,0.123,3.481111,35.26,0,-2.590905,前方車の減速,473046,0,8.13008130081301,8.13008130081301,0,0,-2.590905,0,-1,0,0
0,1,7.528,7.528,16.695833,12.426944,79.636667,0.50241,前方車の減速,475330,0,0.132837407013815,0.132837407013815,1.06335818849449,0.940416889454535,1.99040624191397,0,-1,0,0
0,1,6.609,6.609,7.46,2.797778,50.320278,0.955343,対向車とのすれ違い,475524,0,0.151308821304282,0.151308821304282,1.29626476422182,0.771447336686901,1.0467444676938,0,-1,0,0
1,1,0.076,0,45.136667,3.592222,107.5025,5.832163,右折,475936,1,13.1578947368421,0,1.18852957435047,0.841375781958559,0.171462971799656,0,-1,0,0
2.1,1,0.629,0.629,0,17.760972,53.864722,-1.203117,前方車の減速,476299,0.476190476190476,1.58982511923688,1.58982511923688,0.954296255905512,1.04789261595826,-1.203117,0,-1,0,0
0,1,8.01,8.01,15.505556,8.913889,63.614167,0.953417,左折,477629,0,0.124843945068664,0.124843945068664,0.990532012110727,1.00955848753348,1.04885899873822,0,-1,0,0
10.917,1,0.116,0.116,13.908333,5.133056,85.131111,1.14377,対向車とのすれ違い,479367,0.0916002564807182,8.62068965517241,8.62068965517241,0.916428442078823,1.09119267155393,0.87430165155582,0,-1,0,0
0,1,0,12.225,10.135556,17.451667,71.205833,-0.801126,左折,480290,0,0,0.081799591002045,1.05122410826328,0.951271943003758,-0.801126,0,-1,0,0
0,1,8.135,8.135,15.772222,8.87,65.978611,1.007955,右折,483053,0,0.122925629993854,0.122925629993854,0.917856865290981,1.08949449289457,0.992107782589501,0,-1,0,0
0,1,0.125,0.125,0,35.119028,59.831667,-2.580753,左折,483444,0,8,8,1.26323383496569,0.791619075044138,-2.580753,0,-1,0,0
0,1,0.118,0.118,29.402778,7.791667,91.145833,2.714901,左折,484003,0,8.47457627118644,8.47457627118644,0.74211240257831,1.34750476683278,0.368337556323417,1,1,1,1
0,2,0,0.767,0.277778,23.864444,10.176389,-1.865371,信号停止,485116,0,0,1.30378096479791,0.18303772370722,5.46335465578431,-1.865371,1,1,1,1
0,2,8.624,8.624,21.354167,0.006944,77.5225,3.336779,左折,488155,0,0.11595547309833,0.11595547309833,0.884763655961703,1.13024534095836,0.299690210229686,0,-1,0,0
0,2,19.752,19.752,0,33.032639,0,-2.427433,前方車の減速,490458,0,0.0506277845281491,0.0506277845281491,0,0,-2.427433,0,-1,0,0
0,2,10.749,10.749,14.0375,12.42375,89.795,0.147102,信号停止,490622,0,0.0930319099451112,0.0930319099451112,1.00673310495173,0.993311926548744,6.79800410599448,1,1,1,1
0,2,31.193,31.193,4.5,5.944444,16.023889,0.524823,対向車とのすれ違い,491078,0,0.0320584746577758,0.0320584746577758,0.66146084623323,1.51180528022879,1.90540429821102,0,-1,0,0
0,2,8.157,8.157,9.811111,14.123611,90.957778,-0.385585,信号停止,494232,0,0.122594090964815,0.122594090964815,0.946545646065792,1.05647308627575,-0.385585,1,1,1,1
0,2,16.648,0,36.982222,3.413333,96.681389,4.790516,右折,494410,0,0.0600672753483902,0,1.02398646778464,0.976575405496777,0.208745780204053,0,-1,0,0
0.007,2,0.074,0.074,39.662222,2.792778,28.375278,4.769939,左折,495004,142.857142857143,13.5135135135135,13.5135135135135,0.289248501529052,3.45723485070349,0.209646286881237,0,-1,0,0
0,2,10.787,10.787,20.069444,16.722222,79.860278,0.407783,信号停止,495173,0,0.0927041809585612,0.0927041809585612,1.07907142889314,0.926722711049582,2.45228467101375,1,1,1,1
0,2,20.651,20.651,1.117222,22.764028,-3.597222,-1.549909,左折,500860,0,0.0484238051426081,0.0484238051426081,-0.0645177321642088,-0.0645177321642088,-1.549909,0,-1,0,0
0,2,5.635,5.635,20.783333,4.042778,65.471667,2.506278,左折,501170,0,0.177462289263531,0.177462289263531,1.36115731808732,0.734668937022789,0.398998036131666,0,-1,0,0
0,2,8.685,8.685,12.790278,10.9925,64.368889,0.255969,信号停止,502156,0,0.115141047783535,0.115141047783535,0.938664075829384,1.06534384957304,3.90672307974794,1,1,1,1
0.652,2,6.807,6.807,13.56,16.446389,68.861944,-0.280489,前方車の減速,503335,1.53374233128834,0.146907595122668,0.146907595122668,0.962655321528425,1.03879340573559,-0.280489,0,-1,0,0
0,2,2.77,2.77,41.537222,4.521111,45.596389,4.082909,信号停止,503511,0,0.36101083032491,0.36101083032491,0.300278057989573,3.33024666102884,0.244923411224693,1,1,1,1
0,2,5.962,5.962,4.734444,24.842778,30.110278,-1.800414,信号停止,505960,0,0.167728950016773,0.167728950016773,0.531696673370285,1.88077159418972,-1.800414,0,-1,0,0
0,2,0,7.567,12.86,5.816667,69.232222,0.777689,信号停止,510723,0,0,0.132152768600502,1.2007322792311,0.832825116220209,1.28586105756929,0,-1,0,0
0,2,0.114,0.114,28.551111,4.598333,-3.517778,3.182694,左折,510941,0,8.7719298245614,8.7719298245614,-0.0430982875034032,-0.0430982875034032,0.314199228703733,0,-1,0,0
51.333,2,16.175,16.175,14.890278,18.299028,78.753333,-0.309269,信号停止,511191,0.0194806459782206,0.0618238021638331,0.0618238021638331,1.04721308610054,0.95491549262782,-0.309269,0,-1,0,0
0,2,7.857,7.857,3.905,12.571111,60.416944,-0.850906,信号停止,513204,0,0.127275041364388,0.127275041364388,0.583848276380426,1.71277374697329,-0.850906,0,-1,0,0
0,2,0.076,0.076,23.947222,10.236944,0,1.073959,前方車の減速,516651,0,13.1578947368421,13.1578947368421,0,0,0.931134242554883,0,-1,0,0
0,2,8.24,8.24,2.754722,29.995972,101.574444,-1.909396,前方車の減速,526464,0,0.121359223300971,0.121359223300971,1.10754785073904,0.902895526665262,-1.909396,0,-1,0,0
0,2,0.068,0.068,14.6,15.057778,81.765833,-0.043961,信号停止,526820,0,14.7058823529412,14.7058823529412,0.740464867557166,1.35050296619616,-0.043961,1,1,1,1
0,2,100.492,100.492,0,18.319583,41.139167,-1.26458,左折,528126,0,0.00995104087887593,0.00995104087887593,2.93559962735382,0.340645907800926,-1.26458,0,-1,0,0
5.273,2,0,3.843,3.94,4.586111,85.305278,-0.030692,前方車の減速,529226,0.18964536317087,0,0.260213374967473,1.02568050766507,0.974962468845649,-0.030692,0,-1,0,0
0,2,0.144,0.144,10.743333,15.367778,64.695556,-0.520195,対向車とのすれ違い,530793,0,6.94444444444444,6.94444444444444,1.07190722385862,0.932916560073393,-0.520195,0,-1,0,0
0,2,2.275,2.275,3.293333,10.863333,43.158889,-0.722357,対向車とのすれ違い,533061,0,0.43956043956044,0.43956043956044,1.43015464285714,0.699225083800878,-0.722357,0,-1,0,0
0,2,8.078,8.078,17.727778,7.525,30.135278,1.417107,左折,534131,0,0.123793018073781,0.123793018073781,0.528148584781656,1.89340656931498,0.705663016271884,0,-1,0,0
0,2,0.137,0.137,13.005556,8.219444,56.070278,0.685904,左折,538699,0,7.2992700729927,7.2992700729927,0.868035610217597,1.15202647014599,1.45792997270755,0,-1,0,0
0,2,0.245,0.245,3.77,4.087222,0,0.461565,左折,538815,0,4.08163265306122,4.08163265306122,0,0,2.16654209049646,0,-1,0,0
0.006,2,17.402,17.402,0,31.64375,70.433056,-2.304956,左折,539285,166.666666666667,0.0574646592345707,0.0574646592345707,1.10420677437617,0.905627481379072,-2.304956,0,-1,0,0
0,2,0.124,0.124,29.149444,1.854722,67.913333,3.251859,左折,539498,0,8.06451612903226,8.06451612903226,0.673984834734666,1.48371290934711,0.307516408306756,0,-1,0,0
10.217,2,37.487,37.487,0.545,35.063333,28.270278,-2.342962,左折,541321,0.0978760888714887,0.0266759143169632,0.0266759143169632,0.593117319191095,1.68600708096641,-2.342962,0,-1,0,0
0,2,0.076,0.076,34.204444,1.29,87.982222,4.698643,信号停止,542281,0,13.1578947368421,13.1578947368421,0.799434626956083,1.25088402013256,0.212827405699901,1,1,1,1
0,2,6.593,6.593,9.434722,6.281667,0,0.360514,前方車の減速,543134,0,0.151676020021235,0.151676020021235,0,0,2.77381738295878,0,-1,0,0
0,2,1.695,1.695,23.2,8.148889,12.741667,1.422302,信号停止,544083,0,0.589970501474926,0.589970501474926,0.108768854216068,9.19380834897384,0.703085561294296,1,1,1,1
0,2,0.098,0,21.883333,6.558333,-0.296389,2.307362,右折,548466,0,10.2040816326531,0,-0.0040277845305953,-0.0040277845305953,0.433395366656814,0,-1,0,0
0,2,0,46.518,0.277778,24.989167,35.307222,-1.97833,前方車の減速,550547,0,0,0.0214970549034782,1.47969731315483,0.6758138918749,-1.97833,0,-1,0,0
10,2,30.253,30.253,2.401667,13.252222,42.942222,-1.10359,前方車の減速,554581,0.1,0.0330545731001884,0.0330545731001884,1.45800244459115,0.68586990626097,-1.10359,0,-1,0,0
0,2,0,6.739,34.662222,2.653889,105.918889,4.18141,信号停止,555437,0,0,0.148389968838107,1.13444008211353,0.881492126174649,0.239153778270966,1,1,1,1
0,2,17.842,17.842,18.395833,17.116667,89.814167,0.130991,信号停止,556416,0,0.0560475283040018,0.0560475283040018,1.24693791438488,0.801964547283256,7.634112267255,1,1,1,1
0,2,5.843,5.843,24.427222,13.064167,86.196667,1.251859,前方車の減速,557871,0,0.171144959780934,0.171144959780934,1.01560516200825,0.984634617278441,0.798812006783511,0,-1,0,0
32.667,2,0,13.205,26.328889,4.459444,84.849167,2.808175,信号停止,557977,0.0306119325313007,0,0.0757288905717531,1.08610795477173,0.920718788225961,0.356103163086346,1,1,1,1
